,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
160986,ksp,16553,-5.35%,-0.013582746,2811,28,0.0,0.0,0.0,19
160987,ksp,16554,-1.36%,-0.001417963,2811,28,0.0,0.0,0.0,19
160988,ksp,16559,3.11%,0.009095093,2811,28,0.0,0.0,0.0,19
160989,ksp,16560,0.00%,0.005167558,2811,28,0.0,0.0,0.0,19
160990,ksp,16561,1.45%,0.005707819,2811,28,0.0,0.0,0.0,19
160991,ksp,16562,0.88%,0.004337201,2811,28,0.0,0.0,0.0,19
160992,ksp,16565,0.98%,-0.003390596,2811,28,0.0,0.0,0.0,19
160993,ksp,16566,-2.16%,-0.007306199,2811,28,0.0,0.0,0.0,19
160994,ksp,16567,-2.43%,-0.002138066,2811,28,0.0,0.0,0.0,19
160995,ksp,16568,0.57%,0.00612259,2811,28,0.0,0.0,0.0,19
160996,ksp,16569,-0.90%,4.99759e-05,2811,28,0.0,0.0,0.0,19
160997,ksp,16572,0.91%,-0.004197651,2811,28,0.0,0.0,0.0,19
160998,ksp,16573,-0.34%,0.001030659,2811,28,0.0,0.0,0.0,19
160999,ksp,16574,0.00%,0.011437487,2811,28,0.0,0.0,0.0,19
161000,ksp,16575,0.00%,0.004704767,2811,28,0.0,0.0,0.0,19
161001,ksp,16576,0.00%,0.000876537,2811,28,0.0,0.0,0.0,19
161002,ksp,16579,3.39%,0.004109947,2811,28,0.0,0.0,0.0,19
161003,ksp,16580,-1.64%,-0.000789218,2811,28,0.0,0.0,0.0,19
161004,ksp,16581,1.11%,-0.000570614,2811,28,0.0,0.0,0.0,19
161005,ksp,16582,2.20%,0.007013857,2811,28,0.0,0.0,0.0,19
161006,ksp,16583,0.54%,-0.000882414,2811,28,0.0,0.0,0.0,19
161007,ksp,16587,0.85%,0.00448707,2811,28,0.0,0.0,0.0,19
161008,ksp,16588,-0.63%,0.013386121,2811,28,0.0,0.0,0.0,19
161009,ksp,16589,-0.43%,-0.000151309,2811,28,0.0,0.0,0.0,19
161010,ksp,16596,-0.85%,0.004257242,2811,28,0.0,0.0,0.0,19
161011,ksp,16597,-1.08%,0.006048266,2811,28,0.0,0.0,0.0,19
161012,ksp,16600,0.76%,0.00398708,2811,28,0.0,0.0,0.0,19
161013,ksp,16601,0.54%,0.00138692,2811,28,0.0,0.0,0.0,19
161014,ksp,16602,-0.32%,-0.004020325,2811,28,0.0,0.0,0.0,19
161015,ksp,16603,0.65%,0.00552928,2811,28,0.0,0.0,0.0,19
161016,ksp,16604,1.07%,0.001313935,2811,28,0.0,0.0,0.0,19
161017,ksp,16607,3.17%,-0.000337068,2811,28,0.0,0.0,0.0,19
161018,ksp,16608,0.21%,0.004808192,2811,28,0.0,0.0,0.0,19
161019,ksp,16609,-1.23%,0.00116199,2811,28,0.0,0.0,0.0,19
161020,ksp,16610,2.07%,0.004202994,2811,28,0.0,0.0,0.0,19
161021,ksp,16611,1.42%,-0.008151721,2811,28,0.0,0.0,0.0,19
161022,ksp,16614,0.10%,-0.009713451,2811,28,0.0,0.0,0.0,19
161023,ksp,16615,-2.00%,0.008522274,2811,28,0.0,0.0,0.0,19
161024,ksp,16616,0.51%,0.002964198,2811,28,0.0,0.0,0.0,19
161025,ksp,16617,-0.91%,-0.003136038,2811,28,0.0,0.0,0.0,19
161026,ksp,16618,1.43%,0.007810287,2811,28,0.0,0.0,0.0,19
161027,ksp,16622,0.71%,0.000251759,2811,28,0.0,0.0,0.0,19
161028,ksp,16623,1.40%,0.005896191,2811,28,0.0,0.0,0.0,19
161029,ksp,16624,-0.59%,-0.018221237,2811,28,0.0,0.0,0.0,19
161030,ksp,16625,0.60%,0.013775767,2811,28,0.0,0.0,0.0,19
161031,ksp,16628,2.47%,0.005260896,2811,28,0.0,0.0,0.0,19
161032,ksp,16629,2.80%,-0.003822247,2811,28,0.0,0.0,0.0,19
161033,ksp,16630,-0.94%,0.005712415,2811,28,0.0,0.0,0.0,19
161034,ksp,16631,-1.42%,0.004567566,2811,28,0.0,0.0,0.0,19
161035,ksp,16632,-1.44%,-0.001803078,2811,28,0.0,0.0,0.0,19
161036,ksp,16635,0.98%,-0.00235759,2811,28,0.0,0.0,0.0,19
161037,ksp,16637,-0.29%,0.001742948,2811,28,0.0,0.0,0.0,19
161038,ksp,16638,1.35%,0.00144099,2811,28,0.0,0.0,0.0,19
161039,ksp,16639,0.48%,0.000699887,2811,28,0.0,0.0,0.0,19
161040,ksp,16642,-0.28%,0.004161065,2811,28,0.0,0.0,0.0,19
161041,ksp,16643,-0.10%,0.000593994,2811,28,0.0,0.0,0.0,19
161042,ksp,16644,0.86%,0.002805696,2811,28,0.0,0.0,0.0,19
161043,ksp,16645,0.57%,0.004968441,2811,28,0.0,0.0,0.0,19
161044,ksp,16646,0.94%,-0.000589054,2811,28,0.0,0.0,0.0,19
161045,ksp,16649,0.46%,0.000929765,2811,28,0.0,0.0,0.0,19
161046,ksp,16650,0.83%,0.00751486,2811,28,0.0,0.0,0.0,19
161047,ksp,16651,-0.37%,-0.001221051,2811,28,0.0,0.0,0.0,19
161048,ksp,16652,-0.74%,-0.007534257,2811,28,0.0,0.0,0.0,19
161049,ksp,16653,-0.83%,-0.003800867,2811,28,0.0,0.0,0.0,19
161050,ksp,16656,0.09%,0.006249821,2811,28,0.0,0.0,0.0,19
161051,ksp,16657,0.84%,0.00610608,2811,28,0.0,0.0,0.0,19
161052,ksp,16658,-0.65%,0.008320427,2811,28,0.0,0.0,0.0,19
161053,ksp,16659,-0.28%,-0.003109527,2811,28,0.0,0.0,0.0,19
161054,ksp,16660,-0.19%,-0.002267577,2811,28,0.0,0.0,0.0,19
161055,ksp,16663,-3.00%,-0.00040249,2811,28,0.0,0.0,0.0,19
161056,ksp,16664,0.97%,-0.00238477,2811,28,0.0,0.0,0.0,19
161057,ksp,16665,0.00%,-0.002567908,2811,28,0.0,0.0,0.0,19
161058,ksp,16666,0.48%,-0.003153555,2811,28,0.0,0.0,0.0,19
161059,ksp,16667,-0.48%,0.009546662,2811,28,0.0,0.0,0.0,19
161060,ksp,16670,0.38%,0.000672486,2811,28,0.0,0.0,0.0,19
161061,ksp,16672,0.00%,-0.010565436,2811,28,0.0,0.0,0.0,19
161062,ksp,16673,-1.06%,-0.006806104,2811,28,0.0,0.0,0.0,19
161063,ksp,16679,-1.36%,0.004000885,2811,28,0.0,0.0,0.0,19
161064,ksp,16680,3.05%,0.007095878,2811,28,0.0,0.0,0.0,19
161065,ksp,16681,4.11%,-0.000449724,2811,28,0.0,0.0,0.0,19
161066,ksp,16685,-1.46%,0.014010715,2811,28,0.0,0.0,0.0,19
161067,ksp,16686,0.37%,0.003797298,2811,28,0.0,0.0,0.0,19
161068,ksp,16687,-0.83%,-0.000962805,2811,28,0.0,0.0,0.0,19
161069,ksp,16688,-0.19%,0.003097197,2811,28,0.0,0.0,0.0,19
161070,ksp,16691,1.58%,0.002287577,2811,28,0.0,0.0,0.0,19
161071,ksp,16692,-0.73%,-0.006935666,2811,28,0.0,0.0,0.0,19
161072,ksp,16693,-0.24%,0.003318491,2811,28,0.0,0.0,0.0,19
161073,ksp,16694,-1.12%,0.000246603,2811,28,0.0,0.0,0.0,19
161074,ksp,16695,0.19%,0.006011041,2811,28,0.0,0.0,0.0,19
161075,ksp,16698,-0.47%,0.002443217,2811,28,0.0,0.0,0.0,19
161076,ksp,16699,1.42%,0.001109965,2811,28,0.0,0.0,0.0,19
161077,ksp,16700,0.00%,-0.010290694,2811,28,0.0,0.0,0.0,19
161078,ksp,16701,0.00%,-0.003597179,2811,28,0.0,0.0,0.0,19
161079,ksp,16702,0.93%,0.004717265,2811,28,0.0,0.0,0.0,19
161080,ksp,16706,0.46%,0.00889761,2811,28,0.0,0.0,0.0,19
161081,ksp,16707,-1.20%,0.008527436,2811,28,0.0,0.0,0.0,19
161082,ksp,16708,0.28%,-0.003386793,2811,28,0.0,0.0,0.0,19
161083,ksp,16709,-0.47%,0.003648049,2811,28,0.0,0.0,0.0,19
161084,ksp,16712,-0.47%,0.007895011,2811,28,0.0,0.0,0.0,19
161085,ksp,16713,0.00%,0.002862391,2811,28,0.0,0.0,0.0,19
161086,ksp,16714,1.41%,-0.010289105,2811,28,0.0,0.0,0.0,19
161087,ksp,16716,-0.48%,-0.01831506,2811,28,0.0,0.0,0.0,19
161088,ksp,16719,-2.39%,0.002749305,2811,28,0.0,0.0,0.0,19
161089,ksp,16720,0.00%,0.002301409,2811,28,0.0,0.0,0.0,19
161090,ksp,16726,-2.59%,-0.016069232,2811,28,0.0,0.0,0.0,19
161091,ksp,16727,0.41%,-0.001970045,2811,28,0.0,0.0,0.0,19
161092,ksp,16728,-1.53%,-0.01732827,2811,28,0.0,0.0,0.0,19
161093,ksp,16729,0.21%,0.004571787,2811,28,0.0,0.0,0.0,19
161094,ksp,16730,-1.03%,-0.004491244,2811,28,0.0,0.0,0.0,19
161095,ksp,16733,-0.31%,0.011762259,2811,28,0.0,0.0,0.0,19
161096,ksp,16734,1.67%,-0.002951659,2811,28,0.0,0.0,0.0,19
161097,ksp,16735,1.23%,0.00400675,2811,28,0.0,0.0,0.0,19
161098,ksp,16736,-3.05%,-0.013241125,2811,28,0.0,0.0,0.0,19
161099,ksp,16737,-0.52%,0.001441202,2811,28,0.0,0.0,0.0,19
161100,ksp,16740,1.05%,0.023867881,2811,28,0.0,0.0,0.0,19
161101,ksp,16741,2.08%,0.000551193,2811,28,0.0,0.0,0.0,19
161102,ksp,16742,1.43%,0.003811361,2811,28,0.0,0.0,0.0,19
161103,ksp,16743,0.60%,0.014837744,2811,28,0.0,0.0,0.0,19
161104,ksp,16744,1.80%,-0.001233579,2811,28,0.0,0.0,0.0,19
161105,ksp,16747,0.39%,0.003898216,2811,28,0.0,0.0,0.0,19
161106,ksp,16748,-0.49%,0.00047875,2811,28,0.0,0.0,0.0,19
161107,ksp,16749,-0.59%,-0.000960229,2811,28,0.0,0.0,0.0,19
161108,ksp,16750,0.69%,0.000664336,2811,28,0.0,0.0,0.0,19
161109,ksp,16751,-0.88%,0.010548682,2811,28,0.0,0.0,0.0,19
161110,ksp,16754,2.58%,0.000210066,2811,28,0.0,0.0,0.0,19
161111,ksp,16755,0.48%,-0.002977548,2811,28,0.0,0.0,0.0,19
161112,ksp,16756,-1.63%,-0.00762817,2811,28,0.0,0.0,0.0,19
161113,ksp,16757,0.68%,0.00434718,2811,28,0.0,0.0,0.0,19
161114,ksp,16758,-1.46%,0.006187298,2811,28,0.0,0.0,0.0,19
161115,ksp,16761,0.30%,0.002831195,2811,28,0.0,0.0,0.0,19
161116,ksp,16762,-0.49%,0.000798148,2811,28,0.0,0.0,0.0,19
161117,ksp,16763,1.48%,0.004070302,2811,28,0.0,0.0,0.0,19
161118,ksp,16768,0.10%,-0.006314037,2811,28,0.0,0.0,0.0,19
161119,ksp,16770,1.07%,-0.002677462,2811,28,0.0,0.0,0.0,19
161120,ksp,16771,2.80%,0.016151616,2811,28,0.0,0.0,0.0,19
161121,ksp,16772,0.56%,0.007778115,2811,28,0.0,0.0,0.0,19
161122,ksp,16775,0.84%,-0.003867152,2811,28,0.0,0.0,0.0,19
161123,ksp,16776,0.28%,0.005263628,2811,28,0.0,0.0,0.0,19
161124,ksp,16777,-1.66%,-0.001029008,2811,28,0.0,0.0,0.0,19
161125,ksp,16778,-0.09%,0.000453111,2811,28,0.0,0.0,0.0,19
161126,ksp,16779,-0.38%,-0.000208605,2811,28,0.0,0.0,0.0,19
161127,ksp,16782,0.28%,-0.000188957,2811,28,0.0,0.0,0.0,19
161128,ksp,16784,1.04%,-0.001613403,2811,28,0.0,0.0,0.0,19
161129,ksp,16785,-1.12%,-0.002073115,2811,28,0.0,0.0,0.0,19
161130,ksp,16786,1.89%,0.007030468,2811,28,0.0,0.0,0.0,19
161131,ksp,16789,1.39%,-0.001195537,2811,28,0.0,0.0,0.0,19
161132,ksp,16790,-1.74%,0.003688377,2811,28,0.0,0.0,0.0,19
161133,ksp,16791,0.37%,0.005152506,2811,28,0.0,0.0,0.0,19
161134,ksp,16792,-0.46%,-0.002005337,2811,28,0.0,0.0,0.0,19
161135,ksp,16800,-1.66%,0.001544142,2811,28,0.0,0.0,0.0,19
161136,ksp,16804,4.69%,0.009705427,2811,28,0.0,0.0,0.0,19
161137,ksp,16805,0.00%,0.009902844,2811,28,0.0,0.0,0.0,19
161138,ksp,16807,0.09%,0.003033494,2811,28,0.0,0.0,0.0,19
161139,ksp,16810,1.56%,0.001926807,2811,28,0.0,0.0,0.0,19
161140,ksp,16811,-2.16%,-0.006339098,2811,28,0.0,0.0,0.0,19
161141,ksp,16812,2.12%,0.00585686,2811,28,0.0,0.0,0.0,19
161142,ksp,16813,0.27%,0.003555372,2811,28,0.0,0.0,0.0,19
161143,ksp,16814,0.00%,-0.005679742,2811,28,0.0,0.0,0.333333343,19
161144,ksp,16820,1.17%,-0.007927621,2811,28,0.0,0.0,0.333333343,19
161145,ksp,16821,-1.16%,-0.006031404,2811,28,0.0,0.0,0.333333343,19
